word,splitted,freqcount,cdcount
share,share,3545,2346
French,French,3541,1471
Steve,Steve,3540,572
bullshit,bulls-hit,3537,1422
moved,moved,3536,2394
picked,picked,3534,2431
thousand,thou-sand,3534,1802
Paris,Pa-ris,3531,898
holding,hol-ding,3530,2442
Billy,Bil-ly,3525,687
fear,fear,3523,1912
using,u-sing,3520,2513
la,la,3518,1101
tape,tape,3511,1484
Tony,To-ny,3503,595
suit,suit,3499,1942
pictures,pic-tures,3477,1801
Holy,Ho-ly,3475,1889
putting,put-ting,3467,2537
involved,in-volved,3465,2164
gas,gas,3457,1607
books,books,3456,1783
relationship,re-la-tions-hip,3452,1870
neither,neit-her,3451,2527
Pop,Pop,3441,1548
nine,nine,3441,1969
rules,rules,3438,1932
bother,bot-her,3436,2383
especially,es-pe-cially,3428,2459
nervous,ner-vous,3425,2105
whether,whet-her,3424,2253
dying,dy-ing,3416,2084
stuck,stuck,3399,2312
round,round,3393,1895
dirty,dir-ty,3389,2060
cat,cat,3383,1386
breakfast,brea-kfast,3381,1966
idiot,i-di-ot,3377,2147
space,space,3369,1674
lived,lived,3368,2229
prison,pri-son,3368,1527
carry,car-ry,3361,2181
James,James,3358,950
cry,cry,3348,1900
bastard,bas-tard,3348,1669
smoke,smoke,3337,1883
arm,arm,3336,1945
film,film,3328,1013
government,go-vern-ment,3327,1523
tree,tree,3315,1622
foot,foot,3311,2054
contact,con-tact,3305,1826
knock,knock,3299,2088
agree,a-gree,3298,2264
pardon,par-don,3297,1788
gift,gift,3290,1877
gives,gives,3290,2368
South,South,3288,1693
dreams,dreams,3285,1732
Jim,Jim,3277,729
hat,hat,3273,1728
sake,sake,3272,2130
board,board,3272,1682
sweetheart,sweet-heart,3272,1830
seriously,se-rio-u-sly,3270,2186
North,North,3258,1616
department,de-par-tment,3256,1788
patient,pa-tient,3246,1460
awful,aw-ful,3234,2092
sad,sad,3232,2003
