ll: l-l
California: Ca-li-for-nia
murdered: mur-dered
bloody: bloo-dy
opening: o-pe-ning
insurance: in-su-rance
jealous: jea-lous
bullet: bul-let
arrived: ar-rived
national: na-tional
character: cha-rac-ter
screaming: screa-ming
airport: air-port
target: tar-get
condition: con-di-tion
finding: fin-ding
incredible: in-cre-di-ble
sugar: su-gar
player: play-er
signal: si-gnal
Helen: He-len
total: to-tal
selling: sel-ling
football: foot-ball
justice: jus-tice
letters: let-ters
project: pro-ject
meaning: mea-ning
planning: plan-ning
science: scien-ce
usual: u-su-al
Adam: A-dam
Emily: E-mi-ly
sooner: soo-ner
Commander: Com-man-der
ordered: or-dered
subject: sub-ject
remind: re-mind
bedroom: be-droom
onto: on-to
neighborhood: neigh-bor-hood
finger: fin-ger
personally: per-so-nally
Majesty: Ma-jes-ty
doctors: doc-tors
release: re-lease
market: mar-ket
expecting: ex-pec-ting
unit: u-nit
falling: fal-ling
Susan: Su-san
realized: rea-lized
director: di-rec-tor
agreed: a-greed
truly: tru-ly
powers: po-wers
brilliant: bril-liant
candy: can-dy
Junior: Ju-nior
prepared: pre-pared
legal: le-gal
pocket: poc-ket
aware: a-ware
Jason: Ja-son
Brian: Br-ian
Radar: Ra-dar
responsibility: res-pon-si-bi-li-ty
mountain: moun-tain
England: En-gland
romantic: ro-man-tic
liar: li-ar
training: trai-ning
powerful: po-wer-ful
sending: sen-ding
whenever: whe-ne-ver
language: lan-guage
purpose: pur-pose
believed: be-lieved
pieces: pie-ces
arrested: ar-res-ted
fancy: fan-cy
exciting: ex-ci-ting
genius: ge-nius
introduce: in-tro-duce
forgotten: for-got-ten
Annie: An-nie
familiar: fa-mi-liar
criminal: cri-mi-nal
stolen: sto-len
recognize: re-co-gnize
suicide: sui-ci-de
weather: weat-her
medicine: me-di-cine
issue: is-sue
followed: fol-lowed
Anna: An-na
buried: bu-ried
among: a-mong
television: te-le-vi-sion
regular: re-gu-lar
opened: o-pened
someday: so-meday
stomach: sto-mach
yellow: yel-low
County: Coun-ty
nearly: near-ly
village: vil-lage
prepare: pre-pare
matters: mat-ters
pizza: piz-za
monkey: mon-key
sudden: sud-den
assume: as-sume
heading: hea-ding
fella: fel-la
babies: ba-bies
jacket: jac-ket
social: so-cial
travel: tra-vel
sometime: so-metime
Monday: Mon-day
property: pro-per-ty
fingers: fin-gers
expected: ex-pec-ted
remain: re-main
bodies: bo-dies
secretary: se-cre-ta-ry
sexual: se-xu-al
funeral: fu-ne-ral
magazine: ma-ga-zine
Senator: Se-na-tor
dating: da-ting
glasses: glas-ses
freedom: free-dom
research: re-search
Arthur: Art-hur
damage: da-mage
repeat: re-peat
handsome: han-dsome
hired: hi-red
prefer: pre-fer
buying: buy-ing
society: so-cie-t-y
energy: e-ner-gy
Alan: A-lan
vacation: va-ca-tion
Mulder: Mul-der
Carter: Car-ter
divorce: di-vorce
Ally: Al-ly
Jackson: Jac-kson
defense: de-fense
Grandpa: Grand-pa
began: be-gan
picking: pic-king
checking: chec-king
reasons: rea-sons
goodness: goo-dness
William: Wil-liam
confused: con-fused
Unfortunately: Un-for-tu-na-tely
surgery: sur-ge-ry
telephone: te-lep-hone
contract: con-tract
safety: sa-fety
professional: pro-fes-sio-nal
lesson: les-son
tiny: ti-ny
assistant: as-sis-tant
understood: un-ders-tood
Thomas: Tho-mas
model: mo-del
license: li-cense
Margaret: Mar-garet
riding: ri-ding
warning: war-ning
engine: en-gine
German: Ger-man
silver: sil-ver
Sydney: Sy-dney
access: ac-cess
positive: po-si-tive
female: fe-male
covered: co-vered
someplace: so-meplace
season: sea-son
awesome: a-wesome
champagne: cham-pagne
mayor: may-or
demon: de-mon
winner: win-ner
Madame: Ma-dame
leader: lea-der
showing: sho-wing
permission: per-mis-sion
Mm: M-m
Monsieur: Mon-sieur
Mexico: Me-xi-co
destroyed: des-troyed
headed: hea-ded
students: stu-dents
burning: bur-ning
appointment: ap-poin-tment
mentioned: men-tioned
Piper: Pi-per
Angeles: An-ge-les
Johnson: John-son
ocean: o-cean
harder: har-der
reality: rea-li-t-y
survive: sur-vive
saving: sa-ving
shopping: shop-ping
sexy: se-xy
clearly: clear-ly
growing: gro-wing
example: e-xam-ple
answers: an-swers
alarm: a-larm
fortune: for-tune
schedule: sche-dule
enter: en-ter
bleeding: blee-ding
ended: en-ded
patients: pa-tients
invite: in-vite
obvious: o-bvio-us
charges: char-ges
interview: in-ter-view
affair: af-fair
Russian: Rus-sian
wherever: whe-re-ver
unbelievable: un-be-lie-va-ble
focus: fo-cus
chocolate: cho-colate
borrow: bor-row
statement: sta-tement
investigation: in-ves-ti-ga-tion
painting: pain-ting
throwing: thro-wing
community: com-mu-ni-ty
waited: wai-ted
barely: ba-rely
changes: chan-ges
details: de-tails
yourselves: yo-urselves
exist: e-xist
toilet: toi-let
