ll: ll
cases: ca-ses
received: re-ceived
Subtitles: Sub-ti-tles
charming: char-ming
decent: de-cent
below: be-low
Texas: Te-xas
desert: de-sert
process: pro-cess
Hollywood: Hol-ly-wood
expensive: ex-pen-sive
belongs: be-longs
particular: par-ti-cu-lar
higher: hig-her
lower: lo-wer
period: pe-ri-od
breathing: brea-thing
grandmother: grand-mo-ther
dollar: dol-lar
thousands: thou-sands
soldiers: sol-diers
surely: sure-ly
including: in-clu-ding
Logan: Lo-gan
boring: bo-ring
Karen: Ka-ren
Lt: /
ashamed: a-shamed
sisters: sis-ters
section: sec-tion
clever: cle-ver
success: suc-cess
honestly: ho-nest-ly
garage: ga-rage
physical: phy-si-cal
connection: con-nec-tion
complicated: com-pli-ca-ted
regret: re-gret
pulling: pul-ling
loser: lo-ser
closet: clo-set
giant: gi-ant
parking: par-king
Twenty: Twen-ty
policy: po-li-cy
stranger: stran-ger
Maggie: Mag-gie
Lily: Li-ly
governor: go-ver-nor
Europe: Eu-rope
faces: fa-ces
awake: a-wake
Kitty: Kit-ty
pilot: pi-lot
miracle: mi-ra-cle
lover: lo-ver
aboard: a-board
cigarette: ci-ga-rette
disgusting: dis-gus-ting
mighty: migh-ty
grateful: grate-ful
murderer: mur-de-rer
garden: gar-den
Sally: Sal-ly
Alice: A-lice
Linda: Lin-da
Marie: Ma-rie
event: e-vent
actor: ac-tor
senior: se-ni-or
changing: chan-ging
winter: win-ter
curious: cu-ri-ous
badly: bad-ly
scary: sca-ry
super: su-per
shoulder: shoul-der
disease: di-sease
smoking: smo-king
offered: of-fered
closing: clo-sing
talent: ta-lent
concern: con-cern
garbage: gar-bage
mostly: most-ly
attitude: at-ti-tude
recently: re-cent-ly
friendly: friend-ly
quarter: quar-ter
engaged: en-gaged
basically: ba-sical-ly
Amen: A-men
passing: pas-sing
available: a-vai-la-ble
Louis: Lou-is
Marshall: Mar-shall
taxi: ta-xi
likely: like-ly
object: ob-ject
percent: per-cent
Japanese: Ja-pa-nese
Navy: Na-vy
desperate: des-perate
pussy: pus-sy
negative: ne-ga-tive
cooking: coo-king
data: da-ta
distance: dis-tance
request: re-quest
ruined: ru-ined
knowledge: know-ledge
equipment: e-quip-ment
rescue: res-cue
reports: re-ports
conference: confe-rence
silence: si-lence
audience: au-di-ence
Americans: A-me-ri-cans
mercy: mer-cy
Jesse: Jes-se
proper: pro-per
create: cre-ate
universe: u-ni-verse
Francisco: Fran-cis-co
baseball: base-ball
Harold: Ha-rold
Hercules: Her-cu-les
British: Bri-tish
outfit: out-fit
slowly: slow-ly
Jackie: Ja-ckie
loving: lo-ving
Valley: Val-ley
Robin: Ro-bin
China: Chi-na
piano: pi-a-no
Simon: Si-mon
celebrate: ce-le-brate
uniform: u-ni-form
stealing: stea-ling
spending: spen-ding
returned: re-turned
location: lo-ca-tion
amount: a-mount
healthy: heal-thy
Central: Cen-tral
younger: youn-ger
attractive: at-trac-tive
poison: poi-son
wanting: wan-ting
naturally: na-tural-ly
happiness: hap-pi-ness
Gary: Ga-ry
anytime: a-ny-time
Betty: Bet-ty
eventually: e-ven-tual-ly
channel: chan-nel
elevator: e-le-va-tor
secure: se-cure
grandfather: grand-fa-ther
avoid: a-void
penny: pen-ny
pathetic: pa-the-tic
mirror: mir-ror
Thursday: Thurs-day
partners: part-ners
dozen: do-zen
becomes: be-comes
Ellen: El-len
direction: di-rec-tion
gorgeous: gor-geous
direct: di-rect
theater: the-a-ter
Boston: Bos-ton
committed: com-mit-ted
Morgan: Mor-gan
members: mem-bers
official: of-fi-cial
effect: ef-fect
treated: trea-ted
attacked: at-tacked
vision: vi-sion
secrets: se-crets
aside: a-side
lousy: lou-sy
unusual: un-u-sual
extremely: ex-treme-ly
newspaper: news-pa-per
apple: ap-ple
courage: cou-rage
Tuesday: Tues-day
terribly: ter-rib-ly
fishing: fi-shing
University: U-ni-ver-si-ty
carefully: care-ful-ly
writer: wri-ter
hitting: hit-ting
pity: pi-ty
illegal: il-le-gal
protection: pro-tec-tion
staring: sta-ring
victims: vic-tims
created: cre-a-ted
appear: ap-pear
winning: win-ning
precious: pre-cious
studio: stu-di-o
windows: win-dows
kissing: kis-sing
golden: gol-den
Wilson: Wil-son
Sandy: San-dy
frightened: frigh-tened
owner: ow-ner
royal: roy-al
intend: in-tend
parties: par-ties
considered: con-si-dered
prisoner: priso-ner
Frasier: Fra-sier
popular: po-pu-lar
destiny: des-ti-ny
robbery: rob-be-ry
silent: si-lent
federal: fe-deral
violence: vi-o-lence
mystery: mys-te-ry
library: lib-ra-ry
circumstances: cir-cum-stan-ces
busted: bus-ted
becoming: be-co-ming
photo: pho-to
tower: to-wer
Miller: Mil-ler
practically: prac-ti-cally
embarrassing: em-bar-ras-sing
friendship: friend-ship
wallet: wal-let
package: pa-ckage
flower: flo-wer
beating: bea-ting
Elizabeth: E-li-za-beth
steady: stea-dy
results: re-sults
cleaning: clea-ning
exact: e-xact
image: i-mage
Maria: Ma-ri-a
Barbara: Barba-ra
turkey: tur-key
vehicle: ve-hi-cle
nasty: nas-ty
easily: ea-si-ly
jungle: jun-gle
sensitive: sen-si-tive
suffer: suf-fer
millions: mil-lions
remembered: re-mem-bered
ambulance: am-bu-lance
behavior: be-ha-vior
nightmare: night-mare
cancer: can-cer
families: fami-lies
orange: o-range
media: me-di-a
foreign: fo-reign
Donna: Don-na
wasting: was-ting
memories: me-mo-ries
Spanish: Spa-nish
material: ma-te-ri-al
expert: ex-pert
Charlotte: Char-lotte
cutting: cut-ting
advantage: ad-van-tage
Inspector: Ins-pec-tor
disappointed: di-sap-poin-ted
Terry: Ter-ry
guarantee: gua-ran-tee
committee: com-mit-tee
downtown: down-town
sandwich: sand-wich
understanding: un-der-stan-ding
Daniel: Da-niel
mistakes: mis-takes
political: po-li-ti-cal
panic: pa-nic
performance: per-for-mance
union: u-nion
Parker: Par-ker
cable: ca-ble
hundreds: hun-dreds
Objection: Ob-jec-tion
separate: sepa-rate
ancient: an-cient
underwear: un-der-wear
Lewis: Le-wis
moments: mo-ments
castle: cas-tle
setting: set-ting
rolling: rol-ling
delicious: de-li-cious
value: va-lue
circle: cir-cle
glory: glo-ry
miserable: mise-ra-ble
manage: ma-nage
counting: coun-ting
zero: ze-ro
victory: vic-tory
Willie: Wil-lie
embarrassed: em-bar-rassed
creature: crea-ture
deny: de-ny
basketball: bas-ket-ball
continues: con-ti-nues
Nancy: Nan-cy
yelling: yel-ling
holiday: ho-li-day
hidden: hid-den
Andrew: An-drew
remove: re-move
directly: di-rect-ly
progress: pro-gress
authority: au-tho-ri-ty
highly: high-ly
hunting: hun-ting
emotional: e-mo-tio-nal
shadow: sha-dow
estate: es-tate
agents: a-gents
appears: ap-pears
basement: base-ment
pleasant: plea-sant
clients: cli-ents
refuse: re-fuse
approach: ap-proach
disappear: di-sap-pear
rabbit: rab-bit
district: dis-trict
champion: cham-pi-on
Watson: Wat-son
proceed: pro-ceed
stopping: stop-ping
competition: com-pe-ti-tion
forces: for-ces
leading: lea-ding
presence: pre-sence
hour: ho-ur
Rita: Ri-ta
century: cen-tu-ry
capable: ca-pa-ble
convinced: con-vinced
warrant: war-rant
therefore: there-fore
bury: bu-ry
April: A-pril
diamond: dia-mond
services: ser-vi-ces
Monica: Mo-ni-ca
alert: a-lert
Edward: Ed-ward
Jenny: Jen-ny
transfer: trans-fer
sentence: sen-tence
fabulous: fa-bu-lous
nation: na-tion
butter: but-ter
reporter: re-por-ter
casino: ca-si-no
Potter: Pot-ter
successful: suc-cess-ful
learning: lear-ning
awfully: awful-ly
possibility: pos-si-bi-li-ty
desire: de-sire
nigger: nig-ger
units: u-nits
exchange: ex-change
drama: dra-ma
series: se-ries
homework: home-work
carried: car-ried
entirely: en-tire-ly
explanation: ex-pla-na-tion
assure: as-sure
failure: fai-lure
collect: col-lect
Joseph: Jo-seph
swimming: swim-ming
fever: fe-ver
Jordan: Jor-dan
useless: use-less
journey: jour-ney
delivery: de-li-ve-ry
photos: pho-tos
Barry: Bar-ry
challenge: chal-lenge
soda: so-da
spoken: spo-ken
routine: rou-tine
Teli: Te-li
teaching: tea-ching
result: re-sult
passion: pas-sion
argue: ar-gue
witnesses: wi-tnes-ses
recall: re-call
Barney: Bar-ney
cabin: ca-bin
mental: men-tal
solid: so-lid
article: ar-ti-cle
education: e-du-ca-tion
confidence: con-fi-dence
metal: me-tal
frankly: frank-ly
receive: re-ceive
wounded: woun-ded
anger: an-ger
agency: a-gen-cy
settled: set-tled
escaped: es-caped
suffering: suf-fering
detail: de-tail
supper: sup-per
effort: ef-fort
studying: stu-dy-ing
enemies: e-ne-mies
treatment: treat-ment
commit: com-mit
Dragon: Dra-gon
reputation: re-pu-ta-tion
intelligence: in-tel-li-gence
Gimme: Gim-me
custody: cus-to-dy
ability: a-bi-li-ty
palace: pa-lace
pushing: pu-shing
houses: hou-ses
attempt: at-tempt
lawyers: law-yers
hurting: hur-ting
stronger: stron-ger
Chloe: Chlo-e
ordinary: or-di-na-ry
presents: pre-sents
considering: con-si-de-ring
laundry: laun-dry
treasure: trea-sure
impressed: im-pressed
customers: cus-to-mers
revenge: re-venge
Bravo: Bra-vo
cowboy: cow-boy
nuclear: nu-clear
motion: mo-tion
virus: vi-rus
forest: fo-rest
Reverend: Reve-rend
Noel: No-el
sounded: soun-ded
virgin: vir-gin
fifty: fif-ty
potential: po-ten-tial
defend: de-fend
contest: con-test
Africa: A-fri-ca
plastic: plas-tic
fashion: fa-shion
Mickey: Mi-ckey
latest: la-test
